Codi_Sector_Activitat,Nom_Sector_Activitat,Codi_Grup_Activitat,Nom_Grup_Activitat,Codi_Activitat_2022,Nom_Activitat,Nom_Local,Latitud,Longitud,Direccio_Unica,Nom_Via
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372853544,2.170931697,"204204, 11-11, LOC 30",MATA
1,Locals buits en venda,0,Grup no definit,10,Locals buits en venda,SN,41.371789773,2.158431262,"086301, 59-59, LOC 10",CONCÒRDIA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372631129,2.156634182,"149503, 14-18, LOC 10",GRASES
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372953177,2.165704072,"294207, 37-37, LOC 20",SALVÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37441948,2.168409079,"361009, 78-78, LOC 20",VILA I VILÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374492945,2.167466283,"361009, 97-97, LOC 20",VILA I VILÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,FRUITES I VERDURES,41.372724725,2.160260528,"189202, 75-79, LOC 10",MAGALHAES
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372288953,2.163004428,"195500, 58-58, LOC 20",MARGARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373974661,2.16085732,"086301, 1-1, LOC 10",CONCÒRDIA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373133322,2.155999839,"129459, 31-31, LOC 20",FONT HONRADA
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.374399352,2.165698707,"261004, 10-10, LOC 40",POETA CABANYES
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.374571442,2.16191411,"094707, 2-2, LOC 20",CREU DELS MOLERS
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373179616,2.166971415,"130006, 34-34, LOC 10",FONTRODONA
2,Serveis,16,Altres,1600102,Activitats emmagatzematge,SN,41.373168546,2.16732949,"158606, 8-8, LOC 10",HORTES
1,Comerç al detall,1,Quotidià alimentari,1003000,Fruites i verdures,SN,41.373056836,2.160636038,"273400, 20-20, LOC 30",RADAS
2,Serveis,10,Equipaments culturals i recreatius,1111111,Equipaments culturals i recreatius,FOSSAT DE SANTA EULALIA,41.363807415,2.164607048,"143201, 2-6, LOC 20",AV CASTELL
3,Altres,17,Altres,1700320,Altres equipaments esportius,CAMP DE RUGBI DE LA FOIXARDA,41.365980493,2.146131992,"700795, 20-26, LOC 10",CAMÍ FOIXARDA
1,Comerç al detall,1,Quotidià alimentari,1006000,"Pa, pastisseria i làctics",FORN DE PA GRANIER,41.374797875,2.161220759,"198804, 115-115, LOC 10",AV PARAL·LEL
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,BAR LA TASQUETA DE BLAI,41.37329837,2.165336609,"043400, 17-17, LOC 10",BLAI
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400003,Serveis de menjar take away MENJAR RÀPID,LAS MUNS,41.374020955,2.163794339,"043400, 36-36, LOC 10",BLAI
2,Serveis,13,Reparacions (Electrodomèstics i automòbils),1300000,Reparacions (Electrodomèstics i automòbils),TALLERS ROSER REPARACIO GENERAL DE AUTOMOVILES,41.371406328,2.165500224,"288408, 95-95, LOC 10",ROSER
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400002,Restaurants,CASA AXIN BAR RESTAURANT,41.37296928,2.162699997,"043207, 47-47, LOC 10",BLASCO DE GARAY
2,Serveis,16,Altres,1600400,Serveis a les empreses i oficines,SN,41.372450984,2.169781029,"052900, 35-37, LOC 10",CABANES
2,Serveis,16,Altres,1600102,Activitats emmagatzematge,POBLE SEC PEIX,41.372489227,2.17074126,"204204, 13-17, LOC 30",MATA
2,Serveis,16,Altres,1600102,Activitats emmagatzematge,PETIT MON GOURMET,41.372543573,2.171240151,"257700, 3-7, LOC 10",PIQUER
1,Comerç al detall,1,Quotidià alimentari,1000020,Autoservei / Supermercat,CONDIS,41.373194712,2.169518173,"257700, 32-36, LOC 10",PIQUER
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400100,serveis d'allotjament,HOTEL CONCORDIA BARCELONA,41.374796868,2.16089353,"198804, 115B-115B, LOC 20",AV PARAL·LEL
1,Comerç al detall,1,Quotidià alimentari,1000020,Autoservei / Supermercat,SUPERMERCAT,41.373869998,2.17377618,"005401, 14-14, LOC 20",ALBAREDA
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400002,Restaurants,BAR RESTAURANT BRISAS DO SIL,41.3742806,2.159378082,"226309, 3-3, LOC 10",PL LAS NAVAS
2,Serveis,16,Altres,1600400,Serveis a les empreses i oficines,WE LANADA,41.37169517,2.161010206,"094707, 81-81, LOC 10",CREU DELS MOLERS
2,Serveis,16,Altres,1600400,Serveis a les empreses i oficines,BCN PROPS OFICINA,41.37249124,2.172837406,"270800, 48-50, LOC 10",PUIG I XORIGUER
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,CARMESÍ CAFETERIA,41.373775398,2.164436728,"043400, 28-32, LOC 40",BLAI
2,Serveis,10,Equipaments culturals i recreatius,1111111,Equipaments culturals i recreatius,ESTADI OLIMPIC LLUIS COMPANYS,41.365864745,2.155661881,"116402, 50-56, LOC 10",AV ESTADI
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,BAR TAPS,41.372884742,2.155676633,"230703, 53-53, LOC 10",MARE DE DÉU DEL REMEI
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400002,Restaurants,RESTAURANT LA FOIXARDA,41.367520425,2.148036361,"700795, 15X-17X, LOC 10",CAMÍ FOIXARDA
2,Serveis,16,Altres,1600102,Activitats emmagatzematge,GRUP LD FACILITY SERVICES,41.373915285,2.161670029,"094707, 14-14, LOC 20",CREU DELS MOLERS
2,Serveis,15,Sanitat i assistència,1500000,Sanitat i assistència,RIBAS MEDICINA SL ARTICLES I EQUIPS MEDICS,41.374568423,2.15593949,"129459, 3-3, LOC 20",FONT HONRADA
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,CELLER CAL MARINO,41.372446958,2.163056731,"195500, 54-54, LOC 10",MARGARIT
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,4CUBAR,41.374618741,2.161885947,"043400, 63-63, LOC 30",BLAI
2,Serveis,8,Activitats immobiliàries,8000000,Activitats immobiliàries,TECNOCASA,41.373961578,2.16360122,"043400, 41-41, LOC 10",BLAI
1,Comerç al detall,2,Quotidià no alimentari,2002000,Farmàcies PARAFARMÀCIA,FARMACIA ECOCEUTICS,41.373705957,2.174283117,"005401, 6-8, LOC 20",ALBAREDA
1,Comerç al detall,1,Quotidià alimentari,1000030,Altres,LLEGUMS CUITS,41.373666708,2.155483514,"234500, 70-70, LOC 20",OLIVERA
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400100,serveis d'allotjament,INTERCONTINENTAL BARCELONA,41.372763975,2.154914886,"178400, 34-36, LOC 10",LLEIDA
